Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Label,packet_length,flags_count,syn_count,ack_count,fin_count,is_http,is_internal_ip,direction,bytes_per_packet,short_duration,single_packet
65.363195,443,49214,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.338227,49215,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
65.336328,443,49215,TCP,"FIN,SYN,RST,PSH,ACK",6,541,Benign,541,5,1,1,1,0,0,inbound,541,0,0
65.255937,49215,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.174145,443,49215,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.333979,49216,443,TCP,"FIN,SYN,ACK",4,228,Benign,228,3,1,1,1,0,1,outbound,228,0,0
65.333288,443,49216,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.255168,49216,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.171173,443,49216,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.830905,49217,443,TCP,"FIN,SYN,ACK",8,468,Benign,468,3,1,1,1,0,1,outbound,468,0,0
65.88859,443,49217,TCP,"FIN,SYN,RST,PSH,ACK",9,1120,Benign,1120,5,1,1,1,0,0,inbound,1120,0,0
65.750349,49217,443,TLS,"PSH,ACK",5,941,Benign,941,2,0,1,0,0,1,outbound,941,0,0
